Truth(English),Truth (Telugu),Predicted
jimy,జిమ్మీ,జిమ్య
dasalavarigaa,దశలవారీగా,దాలలవరిగగగ
padaledu,పడలేదు,పడలేదదు
malekar,మలేకర్,మాలేకా్
charitraatmaka,చరిత్రాత్మక,చరిత్రాత్య్యక
vishvaasa,విశ్వాస,విష్వాసా
noblesville,నోబుల్స్విల్,నోబ్లలస్్్విల్లల
french,ఫ్రెంచ్,ఫ్రెంచ్
cheinchi,చేయించి,చిన్చచి
lemu,లేము,లేము
bhoolookamloo,భూలోకంలో,భూలోకంకంలో
charchinchaaru,చర్చించారు,చరర్చించారు
punarnirmaanaaniki,పునర్నిర్మాణానికి,పునా్్నన్్మమమనిిి
undenu,ఉండెను,ఉండేను
egiripadutunnaayi,ఎగిరెగిరిపడుతున్నాయి,ఎగిరిపడుతున్నాని
evochchindi,ఏవొచ్చింది,ఎవోష్చ్చింది
idelluga,ఐదేళ్లుగా,ఇదిల్లుగగగ
puvvulathoo,పువ్వులతో,పువ్వులతోో
vruthakara,వృత్తాకార,వృయకార
dadra,దాద్రా,దద్ర
raktamu,రక్తము,రక్తము
ventura,వెంచురా,వెంట్రరర
tanaviga,తనవిగా,తనవిగా
avutunnaa,అవుతున్నా,అవుతున్న్నా
madhubani,మధుబని,మధనబబనిి
saralamaina,సరళమైన,సరలమమైన
mart,మార్ట్,మార్ట్
tappukuntunnattu,తప్పుకుంటున్నట్టు,తప్పుకుుటటట్న్్టటటటట
aadesinchadam,ఆదేశించడం,ఆదేశించడం
praveenchand,ప్రవీణ్చంద్,ప్రవీణ్చంద్
austin,ఆస్టిన్,ఆస్టిన్
siddhaantamunu,సిద్ధాంతమును,సిద్ధాంతమును
navambarulo,నవంబరులో,నవంబరులో
poostarlu,పోస్టర్లు,పోస్టర్లు
ghanibhavinnchina,ఘనీభవించిన,ఘనీభవించిన
bedirinattugaa,బెదిరినట్టుగా,బెదిరినట్టుగా
chikkullo,చిక్కుల్లో,చిక్కుల్లో
iddariloonuu,ఇద్దరిలోనూ,ఇద్దరిలోనూ
sambhaashanhalaloo,సంభాషణలలో,సంభాషణలలో
kottaata,కొట్టాట,కొట్టాట
pindaniki,పిండానికి,పిండానికి
manthrulatho,మంత్రులతో,మంత్రులతో
mukthyala,ముక్త్యాల,ముక్త్యాల
paramaathmanu,పరమాత్మను,పరమాత్మను
murrieta,ముర్రియేటా,ముర్రియేటా
clicq,క్లిక్,క్లిక్
buutakapu,బూటకపు,బూటకపు
sandharbhamugaa,సందర్భముగా,సందర్భముగా
chaduvuthu,చదువుతూ,చదువుతూ
sandhinchukuntunnaaru,సంధించుకుంటున్నారు,సంధించుకుంటున్నారు
vidhyaardhinii,విద్యార్థినీ,విద్యార్థినీ
yugamdhar,యుగంధర్,యుగంధర్
bigboss,బిగ్బాస్,బిగ్బాస్
kaayadam,కాయడం,కాయడం
bethlehem,బెత్లెహామ్,బెత్లెహామ్
okadigaa,ఒకడిగా,ఒకడిగా
nammukuntunnaaro,నమ్ముకుంటున్నారో,నమ్ముకుంటున్నారో
aachanta,ఆచంట,ఆచంట
nilabadutunnaaru,నిలబడుతున్నారు,నిలబడుతున్నారు
vibedhaalu,విబేధాలు,విబేధాలు
shaasthravetthalatho,శాస్త్రవేత్తలతో,శాస్త్రవేత్తలతో
kalaraa,కలరా,కలరా
rojulugaa,రోజులుగా,రోజులుగా
palisetti,పలిశెట్టి,పలిశెట్టి
rakshanhagaa,రక్షణగా,రక్షణగా
uparitala,ఉపరితల,ఉపరితల
samarpana,సమర్పణ,సమర్పణ
vellinappu,వెళ్లినప్పు,వెళ్లినప్పు
vishvadaanhiraama,విశ్వదాభిరామ,విశ్వదాభిరామ
chittashuddhiledaa,చిత్తశుద్ధిలేదా,చిత్తశుద్ధిలేదా
buena,బ్యూనా,బ్యూనా
manasuni,మనసుని,మనసుని
rekettistaayi,రేకెత్తిస్తాయి,రేకెత్తిస్తాయి
barasat,బరసత్,బరసత్
sultaanulu,సుల్తానులు,సుల్తానులు
puudika,పూడిక,పూడిక
delta,డెల్టా,డెల్టా
wek,వేక్,వేక్
ruussian,రష్యన్,రా్యన్
virani,విరాణి,విరాణి
staanlii,స్టాన్లీ,స్టాన్లీ
majeed,మజీద్,మజీద్
punarnirmaana,పునర్నిర్మాణ,పునర్నిర్మాణ
yogulu,యోగులు,యోగులు
danville,డాన్విల్,డాన్విల్
nirnayinchukunna,నిర్ణయించుకున్న,నిర్ణయించుకున్న
daarr,దార్,దార్
kadalakundaa,కదలకుండా,కదలకుండా
vishnuvu,విష్ణువు,విష్ణువు
chaubey,చౌబే,చూబే
textiles,టెక్స్టైల్స్,టెక్స్టైల్స్
rajyamunu,రాజ్యమును,రాజ్యమును
carpentersville,కార్పెంటర్స్విల్లే,కార్పెంటటరరర్్్్్్
stop,స్టాప్,స్టిప్
vahinchaaru,వహించారు,వహించారు
maddox,మడ్డాక్స్,మాడ్డోక్
bodhistunnaayani,బోధిస్తున్నాయని,బోధిస్స్తున్నాయని
nagupame,నాగుపామే,నాగుపమే
rakshinchadaniki,రక్షించడానికి,రా్ష్ిించడనికి
troy,ట్రాయ్,త్రోయ్
timken,టిమ్కెన్,తింకేన్
sarath,శరత్,సరయ్
duki,దూకి,దుకి
gabbhilam,గబ్బిలం,గా్ష్ిలలం
itarsi,ఇటార్సి,ఇతార్్
kaladii,కలదీ,కలలిి
wendt,వెంట్,వెంటిటట
vidyaardhini,విద్యార్ధిని,విద్యార్ధిని
rahasyamgaa,రహస్యంగా,రాహస్యంగగగ
teesukovaalanukuntundi,తీసుకోవాలనుకుంటుంది,తీసుకోవావనలముుటుందింది
ninditula,నిందితుల,నిందితుల
vinipinchukuntunnaaru,వినిపించుకుంటున్నారు,వినిపించుుుుట్ననననన
kalagachestunnaaru,కలగచేస్తున్నారు,కలగవచచేస్తున్నారున
puraathanamaina,పురాతనమైన,పురాతనమనమై
dwaarakaa,ద్వారకా,డ్వారకా
raajamandri,రాజమండ్రి,రాజమంంద్రి
yerpadataaniki,ఏర్పడటానికి,యరర్పాతానిిికి
niroopinchagalamaa,నిరూపించగలమా,నిరూపించగగమమమమ
erickson,ఎరిక్సన్,ఎరిక్క్సోన్
yeppatinuncho,ఎప్పటినుంచో,యెప్పటినుంచుం
khanna,ఖన్నా,ఖన్న
jyothy,జ్యోతి,జ్యోత్్్
parihar,పరిహర్,పరిజరర్
jajj,జాజ్,జాజ్్్
choosukovaalippudu,చూసుకోవాలిప్పుడు,చూసుకోవావాల్ప్పుడుు
bapuji,బాపూజీ,బాపులి
roling,రోలింగ్,రోలింగ్
etara,ఇతర,ఎతరర
tagipotunnadi,తగిపోతున్నది,తగిపోతున్నననది
viswasaniiyata,విశ్వసనీయత,విస్వసానియత
idukki,ఇడుక్కి,ఇదుక్కికి
kondalaraayudike,కొండలరాయుడికే,కొందలరరరాముడికి
jaruputhoo,జరుపుతూ,జారుపుతో
sdhalaanni,స్థలాన్ని,స్ధలాానననని
bhratha,భరత,భ్రతత
yajamanyalu,యాజమాన్యాలు,యామమన్యలల
seeemgaa,సీఎంగా,సీహగగగా
miranda,మిరాండా,మిరంద
angikarinchay,అంగీకరించే,అంగికరించేన
vithanam,విత్తనం,వితనం
prudhu,పృథు,ప్రుు
aarthikastomatalenivaaru,ఆర్థికస్తోమతలేనివారు,ఆర్తికలససస్తోాాాాా
asthralu,అస్త్రాలు,అస్త్రాాల
duchukovaalsina,డుచుకోవాల్సిన,దుచ్చుకోవాల్సియిన
pradhananga,ప్రధానంగా,ప్రధధనంంగ
greenfield,గ్రీన్ఫీల్డ్,గ్రీన్నిిలల్్్
valasi,వలసి,వాల్ి
estes,ఎస్టెస్,ఎస్తిస్
amaayaka,అమాయక,అమాయక
charchinchadaaniki,చర్చించడానికి,చరర్చించడానికి
customs,కస్టమ్స్,కాస్తోో్సస
mangla,మంగ్లా,మంం్్ల
kover,కవర్,కోవ్ర్
aandhrasarasvati,ఆంధ్రసరస్వతి,ఆంధ్రసాార్్్్ిి
benitez,బెనిటెజ్,బెనితెసే
gagan,గగన్,గాగన
junction,జంక్షన్,జోన్్్టిి్
unnaarantae,ఉన్నారంటే,ఉన్నారంతం
marchalani,మార్చాలని,మార్చలాని
evadiete,ఎవడైతే,ఎవదీయీ
darsi,దర్శి,దార్్ి
pradarshinchetatuvanti,ప్రదర్శించేటటువంటి,ప్రదరరషషిించచటటటటి
waatchmen,వాచ్మెన్,వాత్చ్్్మిన్
careerlone,కెరీర్లోనే,కారీర్లలమిన
raajamandrini,రాజమండ్రిని,రాజమంంద్రిని
azeez,అజీజ్,అహీజ్
eagan,ఎగన్,ఊగనన
gurtunnanu,గుర్తున్నాను,గుర్తున్న్నాన
prajalloki,ప్రజల్లోకి,ప్రజజల్లలకకి
vyaakhyalato,వ్యాఖ్యలతో,వ్యాఖ్యాయలతో
teeyamani,తీయమని,తీయమమని
dveepanni,ద్వీపాన్ని,దివీపన్ని
dvepanni,ద్వీపాన్ని,దివేపన్ననని
mandulanu,మందులను,మందులను
pampinchandi,పంపించండి,పంపించంచంది
malayalee,మలయాళ,మాయయలే
vibhudhi,విభూది,విభుధిధి
praveshinchenduku,ప్రవేశించేందుకు,ప్రవేశెరించేందుందుకు
gelipisthey,గెలిపిస్తే,గెలిపిస్స్యీ
raalekapoyinatlu,రాలేకపోయినట్లు,రాలేకపోయినన్లక్
viraalaalu,విరాళాలు,విరాలాలు
raman,రామన్,రామనన
dearborn,డియర్బార్న్,దిర్్్రర్్్
icchaapuram,ఇచ్ఛాపురం,ఇచ్చాపాపురం
panjaab,పంజాబ్,పంజాబూ
pereddy,పెరెడ్డి,పెరెద్డ్
varma,వర్మ,వార్మ
rajkot,రాజ్కోట్,రాజ్కోత్
gangtok,గ్యాంగ్టోక్,గాం్టికకక
raayitho,రాయితో,రాయితో
siel,సీల్,సిల్
redmond,రెడ్మొండ్,రిద్మోంంి
shores,షోరేస్,శోరిస్
maggutunna,మగ్గుతున్న,మగగ్గుతున్న
naatadam,నాటడం,నాటదంం
dundagulu,దుండగులు,దుందగగలల
chendhadamtoo,చెందడంతో,చెంధదంంతో
paryavekshinchaaru,పర్యవేక్షించారు,పర్యావెె్్ించారు
varanasi,వారణాసి,వరనాసి
pooshinchinadi,పోషించినది,పూషించినదిది
theejasvini,తేజస్విని,తీజా్్్ిిని
yaantrikamiena,యాంత్రికమైన,యాంత్రిిిలమిన
anuvadistunnadi,అనువదిస్తున్నది,అనువడిస్తున్న్నిి
kutra,కుట్ర,కుట్రా
avabhruda,అవభృద,అవభ్రరమడడ
istunnaamani,ఇస్తున్నామని,ఇస్తున్నామమమని
dheshaabhivruddhiki,దేశాభివృద్ధికి,ధేషాభభభివ్చుదిదిి
bhujampai,భుజంపై,భూజంపై
nowgong,నౌగొంగ్,నోగ్కొంవి
kareres,కరేరేస్,కారరరససస
cerebra,సెరెబ్రా,కెరెబ్రరర
dhivyamaina,దివ్యమైన,ధివ్యమైన
mandalamu,మండలము,మందలమమమ
draupathi,ద్రౌపతి,ద్రూపతోిి
pottakooti,పొట్టకూటి,పోట్టకోతి
brownsville,బ్రౌన్స్విల్లే,బ్రోజి్్్్ిిలలలల
kamaneeyamga,కమనీయంగా,కమమీయండంగ
santa,శాంటా,సంట
dhaanyam,ధాన్యం,ధాన్యా
ink,ఇంక్,ఇంక్
lynchburg,లించ్బర్గ్,లిన్చచబబరర్్్
thaalib,తాలిబ్,తాలిస్్
fleming,ఫ్లెమింగ్,ఫిలేమింంిి
bindal,బిండల్,బిందలల
shmashaanavaatika,శ్మశానవాటిక,శ్మాషాానవాతిక
rasheed,రషీద్,రాషీడ్
thaagimdi,తాగింది,తాగిగదదది
seattle,సియటెల్,సీయటట్్ల
khaidi,ఖైదీ,ఖైది
panchatantra,పంచతంత్ర,పంచటంంట్్్
kirthini,కీర్తిని,కిర్తినిని
vidvaansudu,విద్వాంసుడు,విద్వాన్ససతుడ
chendadamtho,చెందడంతో,చెందదంంతో
centennial,సెంటేనియల్,కెపటటె్్ననయయ
agarawal,అగర్వాల్,అగరాాలల
whittier,వైట్టియర్,విట్టిరరర
priya,ప్రియ,ప్రియా
alayalu,ఆలయాలు,అలయయలు
priyadarshini,ప్రియదర్శిని,ప్రియమమర్షిిిిి
zanet,జానెట్,జానిట్
indianapolis,ఇండియానాపోలిస్,ఇందిమనపపోిి
anivaaryamgaa,అనివార్యంగా,అనివార్యంగంగా
agency,ఏజన్సీ,అగెన్్్్
prakatanalanu,ప్రకటనలను,ప్రకకతనామన
mahapanditudu,మహాపండితుడు,మాాపందితుడు
laeraa,లేరా,లేరా
hajipur,హజిపుర్,హాజిపుర్
daantopaatu,దాంతోపాటు,దాంతోపాపాతు
ganistharu,గణిస్తారు,గననిస్తాు
merlinch,మెర్లించ్,మెర్లించచచ
naadir,నాదిర్,నాడిర్
bodhimchindi,బోధించింది,బోధించించింది
aalayyalu,ఆలయాలు,ఆలయ్యలలు
juarez,జ్వారెజ్,జోరారే
khatri,ఖత్రి,ఖాట్్ి
pittsburgh,పిట్స్బర్గ్,పిట్ట్స్సుర్రిి
mogistunnaamani,మోగిస్తున్నామని,మోగిస్తున్నామామని
le,లే,లేఫ
kotturu,కొత్తూరు,కొట్ట్రురు
jeyuduyurugaata,జేయుదురుగాత,జేయుడుయుయురుగాతా
karbonetlu,కార్బోనేటులు,కార్సోనిి్్్ు
coachella,కోచెల్లా,కోలాచెల్ల
mooseeki,మూసీకి,మూసీకి
opikagaa,ఓపికగా,ఒపికగా
jauhari,జౌహరి,జాహరిి
kettering,కెట్టెరింగ్,కెట్టేరిిిిి
mandhugaa,మందుగా,మంధుగాగా
togooru,తోగూరు,తోగోరు
moreno,మోరెనో,మోరేనో
jaat,జాట్,జాత్
keizer,కైజర్,కీజేర్
mayur,మయూర్,మాయుర్
spandinchaadu,స్పందించాడు,స్పంంింంచాడు
maroka,మరోక,మాయోక
mundhumaatalo,ముందుమాటలో,ముంధుమాతాతలో
kuuragayalanu,కూరగాయలను,కూరగమయాలను
yuvatanu,యువతను,యువటనుు
praarambhinchandi,ప్రారంభించండి,ప్రారంభంభించంంంది
saralamga,సరళంగా,సరలాంగ
nootilo,నూతిలో,నూటిలో
mahajan,మహాజన్,మాజజనన
baajee,బాజీ,బాజీ
puttabotunnadanatu,పుట్టబోతున్నాడంటూ,పుట్టబోతున్న్నాడట
renewables,రెన్వేబుల్స్,రినెవా్్లలసస
yuvatha,యువత,యువత
vijayaalatho,విజయాలతో,విజయాలతోో
starayid,స్టెరాయిడ్,స్టరరాయిి
bedford,బెడ్ఫోర్డ్,బెడ్పార్్్
nirvahinchalekapotondi,నిర్వహించలేకపోతోంది,నిర్వహైంచచలేకపోకకిి
bedhirinattugaa,బెదిరినట్టుగా,బెధిరినట్టుకుగా
park,పార్క్,పార్క్
cheppavacchu,చెప్పవచ్చు,చెప్పవపవచ్చు
taagadaaniki,తాగడానికి,తాగదానిి
rajyaniki,రాజ్యానికి,రాజ్యనిిిి
varnamaala,వర్ణమాల,వా్నమమాల
kavarla,కవర్ల,కవవరర్ల
vyaktule,వ్యక్తులే,వ్యకకకుులలే
patishthamaina,పటిష్ఠమైన,పాిర్టమైన
controls,కంట్రోల్స్,కాపటట్్్ోససస
roganni,రోగాన్ని,రోగన్ననన
vaayuvula,వాయువుల,వాయువులా
bomma,బొమ్మ,బోమ్మా
vaartathoo,వార్తతో,వార్తతో
bhadauriya,భదౌరియా,భదమరరయయయ
hodges,హోడ్జ్స్,హోజ్గేస్
lepinchaadu,లేపించాడు,లేపించాడు
bhagaswamulaku,భాగస్వాములకు,భాగస్వాులలకక
cheppalekapoyaaru,చెప్పలేకపోయారు,చెప్పాకలేకపోయారా
cheyuchu,చేయుచు,చేయుచ్చు
miramar,మిఱమాఱ్,మిరమమరర
vaasudhevaraavu,వాసుదేవరావు,వాసుధేేచరావు
dharanu,ధరను,ధరరను
kaastunnattundi,కాస్తున్నట్టుంది,కాస్తున్న్నట్టుంది
ganapathy,గణపతి,గనపపతిిి
raangaguvaa,రాంగగువా,రాంగగగగాా
ketuvaa,కేతువా,కెటువావా
uuhaatmaka,ఊహాత్మక,ఉాాత్మా
praadhamikamgaa,ప్రాథమికంగా,ప్రాధమిగంగగగా
bayatapadalekapotunnaarani,బయటపడలేకపోతున్నారని,బయతపండలేకపుతపనన్నారన
podupunu,పొదుపును,పోడుపునును
reportainaa,రిపోర్టయినా,రిపోర్తోనా
khaideela,ఖైదీల,ఖైదీలలల
vayasunna,వయసున్న,వాససున్నన
parisheelinchelaa,పరిశీలించేలా,పరిషీలలింంచేలలలా
andinchandi,అందించండి,అందించంచంది
undhoo,ఉందో,ఉంధి
korukuntaadu,కోరుకుంటాడు,కోరుకుంటంండడ
whiskei,విస్కీ,విస్క్కి
parma,పార్మా,పా్్ా
arvada,అర్వాడ,అర్వడా
shaasistunnaaranna,శాసిస్తున్నారన్న,శాసిస్తున్నననన్ననన
paakshika,పాక్షిక,పాక్షిజిక
bareilly,బరైలీ,బారీల్ల్
nivasaniki,నివాసానికి,నివసానిిిి
varasaloo,వరసలో,వరససలో
apina,ఆపిన,అపిన
churchincharu,చర్చించారు,చూర్చించచచరు
banga,బంగా,బంగా
exchange,ఎక్స్ఛేంజ్,ఎక్చంగగే
adhya,అధ్య,అధ్య
chitrapataaniki,చిత్రపటానికి,చిత్రపతాానికి
tarangini,తరంగిణి,తరంగిిిి
chattabaddamyna,చట్టబద్దమైన,చట్టబబడడడమయయనన
springdale,స్ప్రింగ్డెల్,సిప్రింగ్డలేే
terry,టెర్రీ,తెర్ర్య
rashtramlone,రాష్ట్రంలోనే,రాష్ట్రాలలలోనే
teecharlake,టీచర్లకే,తీచర్ర్లకే
khambhat,ఖంభాట్,ఖంంబటట
andaalanu,అందాలను,అందాలను
punaravasam,పునరావాసం,పునరావాసం
amarillo,అమరిల్లో,అమరిల్లో
vaakhyalu,వాఖ్యలు,వాఖ్యలు
paryavasaanaalanu,పర్యవసానాలను,పర్యవసానాలను
telusukondi,తెలుసుకోండి,తెలుసుకోండి
rupamai,రూపమై,రూపమై
endukilaa,ఎందుకిలా,ఎందుకిలా
pathrikaloo,పత్రికలూ,పత్రికలూ
palo,పాలో,పాలో
chenchu,చెంచు,చెంచు
asthra,అస్త్ర,అస్త్ర
arthamavuthundi,అర్ధమవుతుంది,అర్ధమవుతుంది
indali,ఇందలి,ఇందలి
nirmulinchali,నిర్మూలించాలి,నిర్మూలించాలి
freeman,ఫ్రీమాన్,ఫ్రీమాన్
vaakyamlo,వాక్యంలో,వాక్యంలో
tewari,తివారి,తివారి
hota,హోట,హోట
prativartitvam,ప్రతివర్తిత్వం,ప్రతివర్తిత్వం
cheppavacchunu,చెప్పవచ్చును,చెప్పవచ్చును
bhaashalloo,భాషల్లో,భాషల్లో
thaathaaravu,తాతారావు,తాతారావు
budge,బుడ్జ్,బుడ్జ్
teliyajeyaalanukuntundi,తెలియజేయాలనుకుంటుంది,తెలియజేయాలనుకుంటుంది
tisukoga,తీసుకోగా,తిసుకోగా
mitrapakshaalade,మిత్రపక్షాలదే,మిత్రపక్షాలదే
sirshkana,శీర్షికన,శీర్షికన
death,డెత్,డెత్
chacchaaru,చచ్చారు,చచ్చారు
tide,టైడ్,టిడ్
soochinchabadataayi,సూచించబడతాయి,సూచించబడతాయి
mcpherson,మక్ఫర్సన్,మక్ఫర్సన్
adaragottina,అదరగొట్టిన,అదరగొట్టిన
nandanwar,నందన్వర్,నందన్వర్
floyd,ఫ్లాయిడ్,ఫ్లాయిడ్
doda,దోడ,దోడ
varnhincha,వర్ణించ,వర్ణించ
kaalpanika,కాల్పనిక,కాల్పనిక
pedutundagaa,పెడుతుండగా,పెడుతుండగా
annadaanam,అన్నదానం,అన్నదానం
fineotex,ఫినోటెక్స్,ఫినోటెక్స్
yeyrpaatu,యేర్పాటు,యేర్పాటు
seshasayee,శేషశాయి,శేషశాయి
ambikapur,అంబికపుర్,అంబికపుర్
chesukuntondi,చేసుకుంటోంది,చేసుకుంటోంది
yerparicharu,ఏర్పరిచారు,యర్పరిచారు
thayaridarulu,తయారీదారులు,తయారీదారులు
koradaayadam,కొరడాయడం,కొరడాయడం
thippaali,తిప్పాలి,తిప్పాలి
chesukunnaamani,చేసుకున్నామని,చేసుకున్నామని
tisukuntunnattuga,తీసుకుంటున్నట్టుగా,తిసుకుంటున్నట్టుగా
praveshinchu,ప్రవేశించు,ప్రవేశించు
vaysaru,వేసారు,వరసారు
youur,యువర్,యువర్
padesindi,పడేసింది,పడేసింది
elivet,ఎలివేట్,ఎలివేట్
chestaamannaaru,చేస్తామన్నారు,చేస్తామన్నారు
namoonaalo,నమూనాలో,నమూనాలో
chebutunnaarani,చెబుతున్నారని,చెబుతున్నారని
keshwani,కేశ్వని,కేశ్వని
dasila,డాశిల,డాశిల
viruchukupaddaaru,విరుచుకుపడ్డారు,విరుచుకుపడ్డారు
ollu,ఒళ్లు,ఒళ్లు
aayusshu,ఆయుష్షు,ఆయోస్ష్
asramamlo,ఆశ్రమంలో,అస్రమంగలల
jaatiiyoodyamam,జాతీయోద్యమం,జాతియోమోయ్యమం
yuvatulu,యువతులు,యువతులు
samudaayaalaku,సముదాయాలకు,సముడాయాలకలకు
vaidyam,వైద్యం,వైద్యం
rooling,రోలింగ్,రూలిిిి
chola,చోళ,చోలా
aatmagaa,ఆత్మగా,ఆత్మగా
aatmala,ఆత్మల,ఆత్మలల
little,లిటిల్,లిత్ట్ల్
mumbai,ముంబాయ్,ముంబా
fees,ఫేస్,ఫీస్
vaiseepeeloki,వైసీపీలోకి,వైసీపీళీలోకి
staroid,స్టెరాయిడ్,స్టారీీీ
tayaaridaarulu,తయారీదారులు,తయారిదారులులు
kadilimchi,కదిలించి,కడిలించిిి
aathmalo,ఆత్మలో,ఆత్మలలో
vaadukuntunnaayannaaru,వాడుకుంటున్నాయన్నారు,వాదుకుంటటంుననననననా
bhuuloekaaniki,భూలోకానికి,భూలోకాకానికి
machhuka,మచ్చిక,మాచ్చుక
rajput,రాజ్పూత్,రాజ్పుట్
greenville,గ్రీన్విల్,గ్రీన్్ిిల్లల
gurtinchabadutundagaa,గుర్తించబడుతుండగా,గుర్తించచచడడుుుంంం
american,అమెరికన్,అమెరికా్్
industries,ఇండస్ట్రీస్,ఇందుస్త్రియయ
dhadheechi,దధీచి,ధధధీచ్చి
kalabanda,కలబంద,కలబంండ
sankshaemam,సంక్షేమం,సంక్షామైమం
rizwan,రిజ్వాన్,రిజ్వనన
brookfield,బ్రూక్ఫీల్డ్,బ్రోస్క్లిల్్్
divya,దివ్య,డివ్యా
estates,ఎస్టేట్స్,ఎస్తతటసస్
duncanville,డంకన్విల్ల్,దున్కా్ిిి్్లల
shawnee,షానీ,శావ్నీ
yuvathulu,యువతులు,యువతులులు
jatiyodyamaniki,జాతీయోద్యమానికి,జాతియమడ్యమమిిిి
bhaktirityuchyate,భక్తిరిత్యుచ్యతే,భాక్టిరిి్్్ర్్్
manugada,మనుగడ,మననుగడ
sirshika,శీర్షిక,సిర్షికక
cheeraa,చేరా,చీరా
bayonne,బెయోన్,బాయనననన
cykle,సైకిల్,సికిక్
kadupulooki,కడుపులోకి,కడుపులోలోకి
tattukoleni,తట్టుకోలేని,తట్టుకోలేరిని
nuzividu,నూజివీడు,నులివిదు
malachi,మలచి,మాలచిి
rosario,రోసారియో,రోసారయయ
aadharamtoe,ఆధారంతో,ఆధరాంతో
alembic,అలెంబిక్,అలెంబ్కి్్
saggubiyyamu,సగ్గుబియ్యము,సగగగుుోిియయమమ
redwood,రెడ్వుడ్,రిద్వోయీ్
neeti,నీతి,నీటి
teesukostaanani,తీసుకొస్తానని,తీసుకొస్స్తానని
annintini,అన్నింటినీ,అన్నింటిని
ganganagar,గంగానగర్,గంగనగగరర
sumter,సుమ్టర్,సుంట్్్
kaatu,కాటు,కాతు
guna,గున,గునా
rowlett,రౌలెట్,రోజ్లెట్ట్
erpadutundanukunnaaru,ఏర్పడుతుందనుకున్నారు,ఎర్పడడతతుందనుుున్నారు
phlight,ఫ్లైట్,పిలిజిత్ట్
vaddhe,వద్దే,వదిధే
vyatyaasam,వ్యత్యాసం,వ్యత్యాయా
thaalapathra,తాళపత్ర,తాలపపట్్్
yecche,యిచ్చే,యిచ్చే
varanasilo,వారణాసిలో,వరనాసిలో
rajouri,రాజౌరి,రాజోరి
dattaatreya,దత్తాత్రేయ,దత్తాత్రేయే
charyalatho,చర్యలతో,చర్యయయతతో
teesukunnaam,తీసుకున్నాం,తీసుకున్న్నా
dhaninchuchu,ధ్యానించుచు,ధననిచచుచచచు
zehra,జెహ్రా,జెహ్రా
adi,అది,అది
agartala,అగర్తల,అగర్తాల
saekarinchaaru,సేకరించారు,సైకరించారరర
aagakumdaa,ఆగకుండా,ఆగకుండడా
padukune,పాడుకునే,పడుకుని
gorinka,గోరింక,గోరింకక
nadini,నదిని,నడిని
sandarshimpajese,సందర్శింపజేసే,సందర్ష్రింపజేేే
pancharaama,పంచారామ,పంచరామమమ
sariayina,సరిఅయిన,సరియయిన
edurudebba,ఎదురుదెబ్బ,ఎదురుడేశ్్్
dhigaadu,దిగాడు,ధిగాదు
santhvana,సాంత్వన,సంత్వన
rahasyamu,రహస్యము,రాహస్యమమ
nochukolekapovadam,నోచుకోలేకపోవడం,నోచ్చుకోలేకపోవడంం
dargee,దర్జీ,దార్గీ
shaasanasabhaa,శాసనసభా,శాసనయశభభా
manna,మన్నా,మననన
maafia,మాఫియా,మాఫీయ
vidhala,విధాలా,విధలల
penchukovaalanukuntundi,పెంచుకోవాలనుకుంటుంది,పెంచుకోవగగాలగుుటుందింద
puvvulatho,పువ్వులతో,పువ్వులతోో
hydaraabaadii,హైదరాబాదీ,హ్దరాాాబడది
yenugulu,ఏనుగులు,యినుగులుల
panchatantram,పంచతంత్రం,పంచటంంట్్రన
vallabhaayai,వల్లభాయై,వా్్భభాయైయై
cherukunna,చేరుకున్న,చెరుకుతున్న
kashtamu,కష్టము,కష్టాు
dhivaan,దివాన్,ధివాన్
virakti,విరక్తి,విరక్టి
aanthoonee,ఆంథోనీ,ఆంతోయీ
dharmapuri,ధర్మపురి,ధరరమమపురి
ontari,ఒంటరి,ఉంటరర
thayaaraina,తయారైన,తయారారైన
dudeja,డుడేజ,దుడేజా
dhanikudu,ధనికుడు,ధననికుడు
thoolubommalaata,తోలుబొమ్మలాట,తోలుబుమోమ్మలోత
poortayindani,పూర్తయిందని,పూర్తాిిదదని
tammudi,తమ్ముడి,తమ్ముడి
sadassunu,సదస్సును,సైయ్ససుున
shstrachikitsalu,శస్త్రచికిత్సలు,శెస్ట్రా్చిిి్్్్
abhimaanam,అభిమానం,అభిమానంంం
ajeernhamu,అజీర్ణము,అజీర్ధమమ
dooki,దూకి,దూకి
kalabandanu,కలబందను,కలబంందను
tolinaalhlhaloe,తొలినాళ్ళలో,తోలినాల్లలలలో
beverages,బెవరేజ్స్,బెవేరాజేస్
neenai,నేనై,నీనై
yerpadindi,ఏర్పడింది,యరర్పడింది
sivasenaku,శివసేనకు,సివససనాకు
lowell,లోవెల్,లోజెల్ల్
mafia,మాఫియా,మాజి
pathrikalaloonuu,పత్రికలలోనూ,పా్్్ికలలలననన
sinimaalonoo,సినిమాలోనూ,సినిమాలోమో
ksheitraanni,క్షేత్రాన్ని,క్షీయిత్రాన్నిని
sthree,స్త్రీ,స్త్రీ
niyantrinchabadutundani,నియంత్రించబడుతుందని,నియంత్రించబడుతుందని
sarvottama,సర్వోత్తమ,సర్వోత్తమ
suurgery,సర్జరీ,సూ్జరీ
tarinchina,తరించిన,తరించిన
prayatname,ప్రయత్నమే,ప్రయత్నమే
sinimaalannee,సినిమాలన్నీ,సినిమాలన్నీ
